Gouvernorat,Indice du savoir,Indice de la Richesse et Emploi,indice santé et population,Indice Justice et Equité
TUNIS,0.91,0.91,0.68,0.53
ARIANA,0.81,0.83,0.35,0.78
BEN AROUS,0.75,0.81,0.29,0.78
MANOUBA,0.54,0.49,0.42,0.69
NABEUL,0.63,0.67,0.18,0.8
ZAGHOUAN,0.23,0.51,0.3,0.52
BIZERTE,0.51,0.55,0.28,0.61
BEJA,0.27,0.37,0.28,0.65
JENDOUBA,0.24,0.31,0.22,0.46
LE KEF,0.31,0.34,0.24,0.73
SILIANA,0.28,0.29,0.23,0.64
KAIROUAN,0.11,0.39,0.1,0.4
KASSERINE,0.03,0.21,0.07,0.32
SIDI BOUZID,0.19,0.29,0.06,0.59
SOUSSE,0.78,0.73,0.34,0.65
MONASTIR,0.68,0.8,0.25,0.83
MAHDIA,0.48,0.53,0.15,0.51
SFAX,0.67,0.68,0.31,0.58
GAFSA,0.43,0.38,0.18,0.64
TOZEUR,0.78,0.42,0.25,0.6
KEBILI,0.64,0.54,0.2,0.64
GABES,0.67,0.56,0.22,0.68
MEDENINE,0.68,0.53,0.23,0.58
TATAOUINE,0.53,0.54,0.25,0.89
